USA:1000,Spain:500,Hebron:20,Jordan:100,Spain:500,Birzeit:10,Valhalla:1300,Yemen:300
Emirates/Spain:300,Jordan:150,USAs:950,,,,,
Alia/Spain:500,Africa:200,Jordan:400,Dubai:1500,Paris:2500,Tokyo:600,USA:450,Italy:900
United/Spain:400,Jordan:300,Dubai:2400,Paris:1200,Italy:1200,Yemen:200,,
Europe/Dubai:1300,Yemen:300,USA:1200,Jordan:300,USA:1200,Jordan:300,,
Middle East/Spain:500,Africa:400,Jordan:700,Dubai:2000,Tokyo:900,Italy:1300,,
American/Dubai:1200,USA:1200,Jordan:300,USA:1200,Jordan:300,,,
Palestinian/USA:700,Spain:450,Hebron:25,Jordan:110,Spain:550,Birzeit:12,Valhalla:1100,
Airways/USA:1500,Spain:500,Jordan:100,Spain:500,Birzeit:10,Valhalla:1300,Yemen:300,
Dalas/USA:1000,Hebron:20,Jordan:100,Spain:500,Birzeit:10,,,
